# HRAS: - strand with non-coding exons
589	NM_005343	chr11	-	532241	535567	532635	534322	6	532241,532630,533452,533765,534211,535415,	532522,532755,533612,533944,534375,535567,	0	HRAS	cmpl	cmpl	-1,0,2,0,0,-1,
# CHEK1: + strand with non-coding exons
1542	NM_001114121	chr11	+	125495030	125546150	125496663	125525215	14	125495030,125496643,125497501,125499126,125499285,125503057,125505323,125507343,125513686,125513985,125514406,125523640,125525119,125545822,	125495907,125496728,125497725,125499191,125499355,125503246,125505428,125507439,125513795,125514163,125514538,125523742,125525242,125546150,	0	CHEK1	cmpl	cmpl	-1,0,2,1,0,1,1,1,1,2,0,0,0,-1,
# TACSTD2: single exon
1035	NM_002353	chr1	-	59041094	59043166	59041856	59042828	1	59041094,	59043166,	0	TACSTD2	cmpl	cmpl	0,
# Collection of densely overlapping genes and transcripts
26	NM_002614	chr1	+	145727665	145764206	145747043	145763623	10	145727665,145743262,145747041,145748337,145752427,145753954,145756416,145761177,145762038,145763569,	145727749,145743333,145747253,145748587,145752564,145754150,145756613,145761402,145762329,145764206,	0	PDZK1	cmpl	cmpl	-1,-1,0,0,1,0,1,0,0,0,
26	NM_001037501	chr1	+	144614958	144830407	144615130	144828784	21	144614958,144615246,144617149,144618081,144619346,144619882,144621446,144813741,144814679,144815935,144816472,144817965,144821920,144823127,144823812,144824704,144825352,144826234,144826932,144827819,144828540,	144615246,144615303,144617252,144618296,144619419,144620094,144621656,144813844,144814894,144816008,144816678,144818017,144822084,144823179,144823985,144824756,144825525,144826286,144827105,144827928,144830407,	0	NBPF8	cmpl	cmpl	0,1,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,
26	NM_001037675	chr1	+	144614958	144830407	144615130	144828784	22	144614958,144615095,144615246,144617149,144618081,144619346,144619882,144621446,144813741,144814679,144815935,144816472,144817965,144821920,144823127,144823812,144824704,144825352,144826234,144826932,144827819,144828540,	144614998,144615246,144615303,144617252,144618296,144619419,144620094,144621656,144813844,144814894,144816008,144816678,144818017,144822084,144823179,144823985,144824756,144825525,144826286,144827105,144827928,144830407,	0	NBPF9	cmpl	cmpl	-1,0,1,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,
26	NM_001039703	chr1	+	145293370	146466121	145293405	146466121	86	145293370,145295422,145296356,145297618,145298154,145299729,145301719,145302653,145303909,145304446,145305944,145309899,145311102,145311785,145312677,145313333,145314215,145314903,145315790,145316511,145317405,145318053,145318935,145319623,145320510,145321229,145322123,145322771,145323653,145324347,145325234,145325951,145331574,145332222,145333104,145333796,145334683,145335388,145336280,145336928,145337810,145338516,145339403,145340108,145341000,145341648,145342530,145343240,145344127,145344832,145345724,145346372,145347254,145347964,145348851,145349562,145350454,145351102,145351984,145352684,145353571,145354294,145355186,145355836,145362978,145363678,145364565,145365286,146420910,146448373,146449255,146449977,146450864,146451598,146452490,146456358,146457250,146457897,146458779,146459497,146460384,146461118,146462010,146462657,146465150,146465877,	145293580,145295525,145296571,145297691,145298366,145299939,145301822,145302868,145303982,145304652,145305996,145310063,145311154,145311958,145312729,145313506,145314267,145315076,145315899,145316684,145317457,145318226,145318987,145319796,145320619,145321402,145322175,145322944,145323705,145324520,145325343,145326124,145331626,145332395,145333156,145333969,145334792,145335561,145336332,145337101,145337862,145338689,145339512,145340281,145341052,145341821,145342582,145343413,145344236,145345005,145345776,145346545,145347306,145348137,145348960,145349735,145350506,145351275,145352036,145352857,145353680,145354467,145355238,145356009,145363030,145363851,145364674,145365459,146420962,146448546,146449307,146450150,146450973,146451771,146452542,146456531,146457302,146458070,146458831,146459670,146460493,146461291,146462062,146462830,146465259,146466121,	0	NBPF10	cmpl	cmpl	0,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,
26	NM_001201325	chr1	+	145727665	145764206	145747043	145763623	9	145727665,145747041,145748337,145752427,145753954,145756416,145761177,145762038,145763569,	145727749,145747253,145748587,145752564,145754150,145756613,145761402,145762329,145764206,	0	PDZK1	cmpl	cmpl	-1,0,0,1,0,1,0,0,0,
26	NM_001201326	chr1	+	145727665	145764206	145747043	145763623	7	145727665,145747041,145748337,145756416,145761177,145762038,145763569,	145727749,145747253,145748587,145756613,145761402,145762329,145764206,	0	PDZK1	cmpl	cmpl	-1,0,0,1,0,0,0,
26	NM_001277444	chr1	+	144614958	145370304	144615130	145368684	26	144614958,144615095,144615246,144617149,144618081,144619346,144619882,144621446,144813741,144814679,144815935,144816472,144817965,144821920,144823127,144823812,144824704,144825352,144826234,144826932,144827819,145313333,145314215,145314903,145315790,145368440,	144614998,144615246,144615303,144617252,144618296,144619419,144620094,144621656,144813844,144814894,144816008,144816678,144818017,144822084,144823179,144823985,144824756,144825525,144826286,144827105,144827928,145313506,145314267,145315076,145315899,145370304,	0	NBPF9	cmpl	cmpl	-1,0,1,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,
