17	41238026	41238275	BRCA1	1	38
17	41238026	41238275	BRCA1	2	38
17	41238026	41238275	BRCA1	3	38
17	41238026	41238275	BRCA1	4	37
17	41238026	41238275	BRCA1	5	37
17	41238026	41238275	BRCA1	6	36
17	41238026	41238275	BRCA1	7	36
17	41238026	41238275	BRCA1	8	36
17	41238026	41238275	BRCA1	9	36
17	41238026	41238275	BRCA1	10	36
17	41218717	41218836	BRCA1	1	48
17	41218717	41218836	BRCA1	2	49
17	41218717	41218836	BRCA1	3	50
17	41218717	41218836	BRCA1	4	51
17	41218717	41218836	BRCA1	5	54
17	41218717	41218836	BRCA1	6	56
17	41218717	41218836	BRCA1	7	57
17	41218717	41218836	BRCA1	8	59
17	41218717	41218836	BRCA1	9	60
17	41218717	41218836	BRCA1	10	61
17	41219136	41219255	BRCA1	1	448
17	41219136	41219255	BRCA1	2	454
17	41219136	41219255	BRCA1	3	457
17	41219136	41219255	BRCA1	4	461
17	41219136	41219255	BRCA1	5	456
17	41219136	41219255	BRCA1	6	463
17	41219136	41219255	BRCA1	7	468
17	41219136	41219255	BRCA1	8	479
17	41219136	41219255	BRCA1	9	487
17	41219136	41219255	BRCA1	10	494
17	41219556	41219795	BRCA1	1	3
17	41220317	41220436	BRCA1	1	11
17	41220317	41220436	BRCA1	2	11
17	41220317	41220436	BRCA1	3	11
17	41220317	41220436	BRCA1	4	12
17	41220317	41220436	BRCA1	5	119
17	41220317	41220436	BRCA1	6	122
17	41220317	41220436	BRCA1	7	123
17	41220317	41220436	BRCA1	8	126
17	41220317	41220436	BRCA1	9	128
17	41220317	41220436	BRCA1	10	130
